Summary for Savings Accounts - EUR						
Description	Amount					
Saldo początkowe	0€					
Suma wpłat	697,92€					
Suma wypłat	613,84€					
Łączna kwota zarobionych odsetek	1,66€					
Podatek ogółem	0€					
Opłaty ogółem	0€					
Saldo końcowe	85,74€					
						
Summary for Savings Accounts - PLN						
Description	Amount					
Saldo początkowe	0 PLN					
Suma wpłat	1 300,00 PLN					
Suma wypłat	1 310,09 PLN					
Łączna kwota zarobionych odsetek	10,09 PLN					
Podatek ogółem	0 PLN					
Opłaty ogółem	0 PLN					
Saldo końcowe	0 PLN					
						
Summary for Crypto						
Sells summary	Amount					
Wpływy brutto	7,95$					
Podstawa kosztowa	0$					
Zrealizowany zysk/strata brutto	7,95$					
						
Transactions for Savings Accounts - EUR						
Date	Description	Money out	Money in	Balance		
13 sie 2025	Interest earned		0,11 PLN	1 307,05 PLN		
14 sie 2025	Interest earned		0,10 PLN	1 307,15 PLN		
15 sie 2025	Interest earned		0,11 PLN	1 307,26 PLN		
16 sie 2025	Interest earned		0,11 PLN	1 307,37 PLN		
17 sie 2025	Interest earned		0,11 PLN	1 307,48 PLN		
18 sie 2025	Interest earned		0,10 PLN	1 307,58 PLN		
19 sie 2025	Interest earned		0,11 PLN	1 307,69 PLN		
20 sie 2025	Interest earned		0,11 PLN	1 307,80 PLN		
21 sie 2025	Interest earned		0,11 PLN	1 307,91 PLN		
22 sie 2025	Interest earned		0,10 PLN	1 308,01 PLN		
23 sie 2025	Interest earned		0,11 PLN	1 308,12 PLN		
24 sie 2025	Interest earned		0,11 PLN	1 308,23 PLN		
25 sie 2025	Interest earned		0,11 PLN	1 308,34 PLN		
26 sie 2025	Interest earned		0,10 PLN	1 308,44 PLN		
27 sie 2025	Interest earned		0,11 PLN	1 308,55 PLN		
28 sie 2025	Interest earned		0,11 PLN	1 308,66 PLN		
29 sie 2025	Interest earned		0,11 PLN	1 308,77 PLN		
30 sie 2025	Interest earned		0,10 PLN	1 308,87 PLN		
31 sie 2025	Interest earned		0,11 PLN	1 308,98 PLN		
1 wrz 2025	Interest earned		0,11 PLN	1 309,09 PLN		
2 wrz 2025	Interest earned		0,11 PLN	1 309,20 PLN		
3 wrz 2025	Interest earned		0,10 PLN	1 309,30 PLN		
4 wrz 2025	Interest earned		0,11 PLN	1 309,41 PLN		
5 wrz 2025	Interest earned		0,11 PLN	1 309,52 PLN		
6 wrz 2025	Interest earned		0,14 PLN	1 309,66 PLN		
7 wrz 2025	Interest earned		0,15 PLN	1 309,81 PLN		
8 wrz 2025	Interest earned		0,14 PLN	1 309,95 PLN		
9 wrz 2025	Interest earned		0,14 PLN	1 310,09 PLN			
9 wrz 2025	Withdrawing savings	1 310,09 PLN		0 PLN		
						
Transactions for Crypto						
Date acquired	Date sold	Token name	Qty	Cost basis	Gross proceeds	Gross PnL
25 lut 2023	4 sty 2025	DOT	0.03327325	0$	0,26$	0,26$
25 lut 2023	4 sty 2025	DOT	0.06835404	0$	0,53$	0,53$
25 lut 2023	4 sty 2025	DOT	0.06833228	0$	0,53$	0,53$
25 lut 2023	4 sty 2025	DOT	0.06808638	0$	0,53$	0,53$
25 lut 2023	4 sty 2025	DOT	0.06809752	0$	0,53$	0,53$
